C3,C4,Timestamp
-151102.7099016559,-120964.71291359818,1747830157.447233
-151107.80609939172,-120965.15994848729,1747830157.455226
-151095.2667707523,-120962.41068391928,1747830157.463239
-151104.85566912362,-120961.91894554127,1747830157.471257
-151090.2152765054,-120962.36598043038,1747830157.480229
-151108.49900346983,-120965.83050082094,1747830157.488311
-151086.08020378117,-120963.12593974185,1747830157.496316
-151106.5767534467,-120964.93643104273,1747830157.520314
-151084.29206422475,-120965.71874209867,1747830157.527343
-151105.14624180153,-120965.56227988748,1747830157.534372
-151080.4028606895,-120965.6963903542,1747830157.541364
-151109.9742186039,-120973.13952125784,1747830157.54737
-151081.90042756803,-120969.67500086725,1747830157.554347
-151106.53204995778,-120972.69248636872,1747830157.561365
-151083.84502933564,-120972.804245091,1747830157.567428
-151103.60397143412,-120973.8547770804,1747830157.574391
-151079.84406707814,-120970.16673924528,1747830157.581421
-151097.2113725199,-120972.558375902,1747830157.587439
-151081.56515140118,-120972.84894857991,1747830157.594454
-151089.99175906085,-120971.01610553458,1747830157.600458
-151079.24056997785,-120970.21144273419,1747830157.609433
-151085.2531892363,-120971.48549216814,1747830157.615455
-151080.46991592288,-120970.5020154121,1747830157.623482
-151081.74396535684,-120972.91600381327,1747830157.630496
-151084.3591194581,-120973.29598346901,1747830157.639513
-151080.78284034526,-120976.5593381595,1747830157.647528
-151087.33190147066,-120975.37469570336,1747830157.656497
-151075.08314550915,-120976.11230327039,1747830157.664546
-151087.6671776375,-120975.86643408137,1747830157.672566
-151065.20367445992,-120970.9043468123,1747830157.679584
-151084.2026572469,-120973.0054107911,1747830157.686596
-151058.6546133345,-120968.8032828335,1747830157.695569
-151083.64386363555,-120973.2512799801,1747830157.707636
-151056.9558807559,-120970.34555320091,1747830157.714647
-151079.93347405596,-120971.08316076794,1747830157.721643
-151053.06667722066,-120968.55741364449,1747830157.728649
-151076.60306413213,-120969.80911133399,1747830157.73568
-151052.48553186483,-120969.33972470043,1747830157.745676
-151074.18907573094,-120969.96557354518,1747830157.752688
-151053.4019533875,-120970.47966366765,1747830157.760698
-151072.98208153035,-120972.58072764645,1747830157.766694
-151054.161912699,-120970.43496017874,1747830157.774697
-151066.27655819376,-120969.4514834227,1747830157.783765
-151054.67600282145,-120969.8538148229,1747830157.790751
-151063.30377618122,-120970.77023634556,1747830157.80076
-151056.01710748876,-120969.63029737835,1747830157.807772
-151056.3076801667,-120967.93156479974,1747830157.815798
-151055.63712783303,-120967.64099212183,1747830157.823786
-151054.63129933254,-120970.77023634556,1747830157.832807
-151056.9558807559,-120967.52923339955,1747830157.839831
-151047.14346494002,-120967.66334386628,1747830157.852837
-151058.92283426796,-120968.1997857332,1747830157.85985
-151043.58953757162,-120967.9539165442,1747830157.865864
-151061.18036045795,-120969.47383516715,1747830157.872902
-151039.4991683363,-120967.17160548826,1747830157.878863
-151061.24741569132,-120969.4067799338,1747830157.886904
-151035.38644735652,-120965.74109384313,1747830157.895903
-151060.17453195745,-120968.53506190004,1747830157.903946
-151032.8383484886,-120965.048189765,1747830157.927991
-151056.08416272214,-120965.83050082094,1747830157.934973
-151030.67022927647,-120964.06471300898,1747830157.942013
-151053.93839525443,-120965.56227988748,1747830157.947994
-151029.53029030922,-120963.08123625294,1747830157.954979
-151049.98213648584,-120964.57880313144,1747830157.961006
-151026.2445838743,-120959.57201237346,1747830157.968142
